mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
17.33370289325714,0.09909080750749612,0.5917776298522949,0.013864096450203534,0.15,2,1800,"{'max_features': 0.15, 'min_samples_split': 2, 'n_estimators': 1800}",0.9895887465190191,0.9870505711448032,0.989709488510505,0.9921578612944002,0.9896596582460147,0.9874275179454667,0.9933283113037561,0.9894469031014275,0.9882713488916218,0.990332958553792,0.9881728952398291,0.9908429311648043,0.9915915858016102,0.9873184865128841,0.9904649659369923,0.9895369159681584,0.9888055427383001,0.9891057125985462,0.9882602665799247,0.9922005246049037,0.9899364671697806,0.9893206360159935,0.9892671199020882,0.991145015286125,0.9893052911781999,0.987685426208641,0.9876338360293696,0.9939832470676999,0.9905266343488857,0.9895622976104022,0.9893556013098973,0.988546357156669,0.9906452722016915,0.9890134936126211,0.9919149907493864,0.9864127018113187,0.9903611127184913,0.9906536682056487,0.9924772939336751,0.9904034458104229,0.9918919645119869,0.9876369991864371,0.9896385606722371,0.9913894276769332,0.9891723306359582,0.9869507590361261,0.991532133658304,0.9886991256949018,0.9902368006312597,0.9908895768060313,0.9897892155898788,0.0016756821994219214,1
19.2370623588562,0.09302866773925546,0.6441698694229125,0.008303805066145514,0.15,2,2000,"{'max_features': 0.15, 'min_samples_split': 2, 'n_estimators': 2000}",0.9895392827783793,0.9869654571824393,0.9895155399838036,0.9918756178477329,0.9896488686585745,0.9874098803214354,0.9932455439493234,0.9895493099247394,0.9884845985253413,0.9903008284918908,0.988122919923283,0.9908280530531959,0.9914880469794534,0.9874546424116983,0.9905108746585055,0.9897199897132124,0.9888587240846716,0.9892165299594005,0.9882143350587285,0.9923582855240862,0.9901885560146588,0.9891688588713841,0.9893140186188477,0.9909761014814876,0.9892785918317948,0.9879549258001548,0.9875611882224595,0.994008885783243,0.9905914959179197,0.9896692242452542,0.9886851913138447,0.9886428593881753,0.9905877887208518,0.9893720620887632,0.9919313473908085,0.9862119211326681,0.9904252245287266,0.9906624927376768,0.9925046700218291,0.9903172709824674,0.9920854868299959,0.9875654989208378,0.9896144476063029,0.9915402773768319,0.9889226616696064,0.9871356046490136,0.991422441320678,0.9885591669883323,0.9903255647328549,0.9907982783483767,0.989786588651315,0.0016761827866034113,2
19.50952190876007,0.10932583167833067,0.5932591962814331,0.0161915865713814,0.19,2,1800,"{'max_features': 0.19, 'min_samples_split': 2, 'n_estimators': 1800}",0.9894273440029726,0.9871632807662625,0.9896223263756984,0.9920339239611552,0.9895992724003184,0.987312260467619,0.9930993903120584,0.9893943358748848,0.988185972671811,0.990436235951171,0.9878171278321217,0.9911492439691457,0.9916940832213239,0.9872863026262906,0.9904190615381957,0.9896975317426386,0.9887425022344256,0.9888818536076446,0.9884752626904838,0.9921421310128989,0.989763564135411,0.9892140341328213,0.9897056165939316,0.9911925381879445,0.9893525405470832,0.9874135945006894,0.9877783897745525,0.9940530693689984,0.9904687454029657,0.9896825025936302,0.9892979101450073,0.9886666518965976,0.9908954951123263,0.9891647373761024,0.9920314801846665,0.9861583835551888,0.9903406248110214,0.9905998054709213,0.9926201881425133,0.9902291868105267,0.9919593236369252,0.9876496222021404,0.9897366448153504,0.9912445030822955,0.9889629803402844,0.9872300729623577,0.9914847152017037,0.9886129132211483,0.9902143604913676,0.9907233988657194,0.9897805407364261,0.001690368537319246,3
23.812591319084166,0.12333108350040621,0.7044531726837158,0.010840905373085496,0.19,2,2200,"{'max_features': 0.19, 'min_samples_split': 2, 'n_estimators': 2200}",0.9896283990059851,0.9870813273869292,0.9894834887723924,0.9918319414883673,0.9896019925995091,0.987519583813221,0.9931163157468781,0.989363850108918,0.988371624318852,0.9905249527094793,0.9880320250640324,0.9909736310032071,0.9914342949609862,0.987238021402127,0.9904039422312136,0.9896266251212653,0.9887126703501246,0.988934579652114,0.9882882667852696,0.9921702243489989,0.9897512248264901,0.9892424779983638,0.9891848683291832,0.9911423409176701,0.989381255662759,0.9877285854308866,0.987674345548052,0.9941151598193807,0.9904772686964212,0.9897248966006158,0.9892463996828786,0.9887287058088982,0.990691052906522,0.9891816761066974,0.9919865085416886,0.986113114168688,0.9903546761609183,0.9906716045584778,0.992458285402711,0.9903869746170075,0.9920038725605247,0.9875012656740043,0.9894660836745878,0.9913431969238878,0.9891185301033996,0.9869476129501601,0.9914557990393895,0.9885871218437557,0.9902196754245731,0.9906816500674346,0.9897580797383181,0.0016791006265292282,4
18.53904359817505,0.09333359589987258,0.7158323287963867,0.01384010524003684,0.13,2,2200,"{'max_features': 0.13, 'min_samples_split': 2, 'n_estimators': 2200}",0.9894531322257242,0.9873043309073537,0.9897116654009835,0.9919307666237247,0.9896802182107413,0.9874557150656139,0.9931211459605622,0.9893359234857385,0.9884874083250155,0.9902453357021821,0.988235898280881,0.9908049151357303,0.9913486839865506,0.9873750616777984,0.9905879924438915,0.9894966709512681,0.9889570821020717,0.9889499102703383,0.9882308523539131,0.9921718311028117,0.990178099535734,0.9893259879791586,0.989282223429108,0.9908929740084027,0.9890105431061315,0.9878470996114285,0.9875232813726654,0.9939097434655911,0.9904199273748594,0.9897942507867347,0.9890201644424035,0.9885917490216405,0.9907496923464736,0.989250496826687,0.9917977746654218,0.9865643175548995,0.9904147926090108,0.9906584711081375,0.9922401389281351,0.9903231323270051,0.9920319235065763,0.987370981486847,0.989587254322303,0.9914197459536934,0.9889573608949755,0.986918589592023,0.9911277715761317,0.9885740994797123,0.9904790107847937,0.990732690977626,0.989757576585744,0.0016273456636741147,5
15.192790169715881,0.09586920989178943,0.6027689218521118,0.017213530333417736,0.13,2,1800,"{'max_features': 0.13, 'min_samples_split': 2, 'n_estimators': 1800}",0.9895877580665606,0.987140574573844,0.9896149877340997,0.9918751211049729,0.9898040235847428,0.9874458649005252,0.9931930031982799,0.9892301184242122,0.9885421575024089,0.990327878237715,0.9884096240097605,0.9909020614280426,0.9914663571439698,0.9874162970411454,0.9906458546875541,0.9894556769230668,0.9890435090795474,0.9893111944206531,0.9881884014327078,0.9920560396133762,0.9900155865344796,0.9891789519598133,0.9893979943635045,0.9908662265471813,0.9890319421101778,0.9878194069189421,0.9875989373707068,0.9939108598489881,0.9902746095721394,0.9896057374554763,0.9893822997388424,0.9885840908718375,0.990725378813134,0.9891135920266008,0.9919443236677388,0.9862653105358797,0.990399722709367,0.9906527828183821,0.9921494939785624,0.9903531044887093,0.9921015851298133,0.9874683886984714,0.9893874015280104,0.9912089115827486,0.9890467307293289,0.9868831046435259,0.991215798590549,0.9885477502747572,0.9902131605562877,0.9908524221910987,0.9897570421872447,0.0016345982856134785,6
21.664355244636536,0.11068647677323867,0.6460795211791992,0.013877107617283307,0.19,2,2000,"{'max_features': 0.19, 'min_samples_split': 2, 'n_estimators': 2000}",0.9894302189069071,0.9869805827748817,0.9896864647442916,0.9919101755104801,0.9896218215063805,0.9874564268258192,0.9932216958929614,0.9893698277228145,0.9883259083008044,0.9904480741432377,0.9882782032571639,0.990937566010536,0.99140835200332,0.9872816594414763,0.9904842596915311,0.9895578388934367,0.9887993160928797,0.9889955174799578,0.9883112252380817,0.9924023645260576,0.9897949914044437,0.9892135495564449,0.9894310937243089,0.9908908972617441,0.9893472838641632,0.9876045537298058,0.9875088508370462,0.9940127606198578,0.9904507321760436,0.9896212117439571,0.9892598687544266,0.9886836441839474,0.9907848623616473,0.9891704743583958,0.9920841626897674,0.9860838479819266,0.9903239647582925,0.9904254744664055,0.9925056923513962,0.990531584275686,0.9920341559487278,0.9876636600912729,0.9895021004133145,0.9912444353485166,0.9888759616315663,0.9868126585017547,0.9914011602476925,0.9887576028570271,0.9902178220078447,0.9906744568074144,0.9897564202783571,0.0016903734602030805,7
21.164001803398133,0.09677564940985892,0.7046036958694458,0.007792648572269891,0.15,2,2200,"{'max_features': 0.15, 'min_samples_split': 2, 'n_estimators': 2200}",0.9893359591406966,0.9871753406083194,0.989570339713163,0.9919998885458693,0.9896502373171492,0.9874857795381068,0.9931559806025927,0.9893348281937472,0.9883726379524786,0.9903466405574577,0.9880341215613779,0.9909081501563428,0.9914937366723843,0.987245488945765,0.9906004503406303,0.9894803728905867,0.988719493169236,0.9889713607692695,0.9883058257978202,0.9923228696787358,0.9899115626662713,0.9891824889372407,0.989172805159755,0.9909937972846563,0.9891972141819692,0.9874357303879308,0.9874207469413838,0.9939252480490698,0.9905582245711566,0.9896765116540445,0.9892620465345088,0.9888468073523811,0.9906563161197711,0.9891920010931701,0.9919701293356848,0.9860707775629516,0.9903626559483323,0.9904612864180488,0.9922695040020137,0.9904395066051114,0.992038965843121,0.9878374145914218,0.9896849525631168,0.9912733559104778,0.9889542923712696,0.9868998045882554,0.9913869906091,0.98858835297422,0.9902822608523559,0.9908705150949271,0.9897466353671089,0.0016800918442877624,8
16.853442978858947,0.07962440850568572,0.6582867002487183,0.01674511600776516,0.13,2,2000,"{'max_features': 0.13, 'min_samples_split': 2, 'n_estimators': 2000}",0.9896030861220491,0.9871672343309486,0.989771905105429,0.9920094673955877,0.9896657664176782,0.9875325211288594,0.9932636032919724,0.9891953449907878,0.9884249792778098,0.99007170003804,0.9882435295091547,0.9908325032955752,0.9913878147550076,0.9873081392357698,0.9906348567451675,0.9895338761642881,0.9889867528304908,0.9891450800400851,0.9877892504504098,0.9922745759414878,0.9899401394624341,0.989331080872752,0.9893406634337285,0.9908785852484469,0.9891910537054329,0.9879634014963935,0.9874501605168298,0.9937556603537457,0.9904141269049491,0.9897836887471039,0.989216200391024,0.9885919028844178,0.9906810290763325,0.9891128479540446,0.9918413677075769,0.9862597394842876,0.9905398279393385,0.9905078634519044,0.9921474554642492,0.9902161744821386,0.9919650494984511,0.9876189182040491,0.9894642373130498,0.991303939746096,0.9890073327108624,0.9868796731626108,0.9911156416612131,0.9885370457332922,0.9904160895901223,0.9907252675761665,0.9897407630367927,0.0016390880144467053,9
28.860004825592043,0.1605678982584726,0.6378730487823486,0.014549352070888257,0.25,2,2000,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 2000}",0.9895443942250957,0.9868668769732821,0.9897296883003625,0.9921237506183525,0.9891369368364631,0.9869929639425459,0.9932239760940836,0.9894503415377317,0.9881054830697982,0.9904851536293533,0.9880790888105467,0.9911846839499987,0.991512945294529,0.9870392186761638,0.9903680353252415,0.9895694521122331,0.9884433286885898,0.9884505067575192,0.9882713583033349,0.9922951115260922,0.9897655163195445,0.9891881016247155,0.9895801621247939,0.9909609194034379,0.989414594874987,0.9872658752584051,0.9876058209916898,0.9941835571047465,0.9903220565399782,0.9895959076840614,0.9890554605669077,0.9888402549575754,0.9907748719989821,0.9888872737580214,0.9919965046512434,0.9854734841271012,0.9901925479001804,0.990438507232095,0.9927339373054738,0.990346050593077,0.9918127113697984,0.9876729997724707,0.9894375341476979,0.9915669393126377,0.988731251253588,0.9868846587099508,0.9913445664582511,0.9887603657869388,0.9900339932040026,0.9907633424110385,0.9896900612422942,0.0017882132379030238,10
25.980579228401183,0.1459733786560588,0.5870596170425415,0.018651737917157764,0.25,2,1800,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 1800}",0.9893755064041537,0.9865283178658786,0.9896121726981209,0.992002817215462,0.9893365041325175,0.9872275507014793,0.9931042637717911,0.9893425129754589,0.9880951343423258,0.9906558299616142,0.9879648958251048,0.9911994828681854,0.9913382937559433,0.9869967252989511,0.9901318246187364,0.989639018044812,0.988641719886551,0.9886770511128047,0.9882440082636108,0.9922330718089707,0.9897518328117787,0.989232050831145,0.9894614375330161,0.9911633903702561,0.9894075516996923,0.9873898552670305,0.9876991845194789,0.9941813650028951,0.9903772994690758,0.9896318900646681,0.9889788472444259,0.9885598555733521,0.9907186638582761,0.9889764126971571,0.9919993777881524,0.9859800801969614,0.9902978763983803,0.9900466391035587,0.992614828189847,0.990328395148183,0.9921798954947704,0.9876336476176683,0.9895645617717775,0.9913292061914438,0.9888890155444894,0.9872745197657788,0.991437277233681,0.9886697194479108,0.9896632819527811,0.9906959955216657,0.9896896131172355,0.0017437745977799115,11
31.702410988807678,0.1926084883009168,0.6986013746261597,0.020454680118027025,0.25,2,2200,"{'max_features': 0.25, 'min_samples_split': 2, 'n_estimators': 2200}",0.9893481415949399,0.9867886870921954,0.9895635134622797,0.9920753650089914,0.9892834183179445,0.9870520098698604,0.9933534283101695,0.9895318007107361,0.9881325414377307,0.9905995363454027,0.9880989353259633,0.9909411832901146,0.9912979758354437,0.9870220259398037,0.9903097536916003,0.9895996192286264,0.9884017089967039,0.9887514421065176,0.9882921436147931,0.9921444338970158,0.9897623967595305,0.989076084614187,0.9895123957497901,0.9909930376151032,0.9893565932669366,0.9871479211593222,0.9874393018808533,0.9942359725058992,0.9903490898452413,0.9894831708856385,0.988917968190542,0.9888096307769147,0.9908840604356023,0.9889375347341289,0.9920382578586991,0.9857801501985077,0.990276885734702,0.9903927478422669,0.9926375459956681,0.9903884301621882,0.99185139240855,0.9875650309308421,0.9893818977957174,0.991394369476161,0.9885901339177648,0.9873344529446719,0.9914634033907062,0.9886252486617089,0.989857824869147,0.990672337033579,0.9896748586343481,0.001766650608041632,12
20.945951800346375,0.12112838870652225,0.7052180480957031,0.02009141398106211,0.15,4,2200,"{'max_features': 0.15, 'min_samples_split': 4, 'n_estimators': 2200}",0.9892947121604401,0.9868614896031808,0.9894040386935972,0.9919170005013817,0.9894879646920499,0.9872154234775993,0.9931541095841947,0.9892136084512373,0.9882305894452351,0.9901211586609955,0.9879782101090054,0.9906642706728845,0.9912776793884703,0.9871160383698315,0.9902174788186882,0.989457533901264,0.9888718168398242,0.9888752700277396,0.9879747956382265,0.9920096610990077,0.9898050445395858,0.9890744058351165,0.989128820248494,0.9908979432919114,0.9890987337898123,0.9873173356438156,0.9872597947257941,0.9938493326956213,0.990279310158774,0.9895566312203897,0.98901549419787,0.9883112616242977,0.9905147097490474,0.989074459012649,0.9917210625237752,0.9860190752459295,0.9900318264063271,0.9902667691351681,0.992121348799284,0.9899936238198984,0.9918594646272897,0.9873495596719865,0.9894187985298675,0.9911400556957959,0.9887593398346995,0.9869369327194557,0.9911597602749286,0.9885321734854813,0.9901212701900224,0.9906921120793998,0.9895729859981468,0.0016787883282610013,13
19.306164817810057,0.11025029910161945,0.5784474897384644,0.01260722295811873,0.19,4,1800,"{'max_features': 0.19, 'min_samples_split': 4, 'n_estimators': 1800}",0.9893990065086695,0.9867127102031246,0.9894548056009269,0.9920770199112396,0.9893425500570601,0.9870959971018349,0.9931590360902594,0.9891818812140144,0.9881467987815853,0.9903278988138468,0.9879056485769032,0.9906753532054997,0.9914025084512064,0.9870951804806121,0.9902914377355883,0.9894258701829838,0.9886481525552113,0.9886848535382452,0.9881026813986441,0.9920729975446971,0.9897304571847236,0.9890005158436818,0.9891431641662074,0.990891505034163,0.9892085615727775,0.9873143389745636,0.9872373425941607,0.993860652469244,0.990217723409175,0.9894647904346927,0.9890063837508161,0.988657552280556,0.990440384692039,0.9891365477935936,0.9918304028772006,0.9856656816072571,0.9901373186288744,0.9904531454319778,0.9923481220336224,0.9899988086592664,0.9917409874137061,0.9873807203164822,0.9892955378481629,0.9911783407759825,0.988632484697583,0.9869291929581971,0.9912038375146224,0.988315212103223,0.9899397566384023,0.9904300102016117,0.9895598373571743,0.0017247061895763625,14
17.167264833450318,0.11381470488755584,0.5785818386077881,0.014502258378882136,0.15,4,1800,"{'max_features': 0.15, 'min_samples_split': 4, 'n_estimators': 1800}",0.98943606619946,0.9866806606801699,0.9893745347332578,0.9919467581818779,0.9894812416571568,0.9870694295309089,0.9931501169855201,0.9891416463245273,0.9880614119910346,0.9899799657640835,0.987973581790073,0.9906772299235509,0.9913363385430392,0.9870850242402321,0.9902327146661134,0.9892801329602607,0.9885662246265288,0.9888474986770028,0.9879323224277948,0.9920623014143933,0.9896842480686059,0.9889465717968037,0.9891799122282598,0.9910779674176109,0.9889378896496874,0.987384285591601,0.9873401602140743,0.9938561914450382,0.9901192694661187,0.9895791522287929,0.9890743766014118,0.9884059432595572,0.9907986122840869,0.989116732955671,0.99182758256389,0.9861402661017067,0.9901433685516183,0.9903722999424979,0.9921936772767737,0.9900244167790575,0.9917786856105085,0.9872851973945889,0.9893703494062915,0.9911792898659092,0.9886622699450152,0.9868426622838061,0.9912331027207981,0.9883141458700557,0.9900507359723635,0.9905513064979081,0.9895557174261418,0.0017098561513891233,15
21.43487446784973,0.1163331464798015,0.6405848693847657,0.015456420313815786,0.19,4,2000,"{'max_features': 0.19, 'min_samples_split': 4, 'n_estimators': 2000}",0.9891995167095275,0.9865688539105131,0.9894707759675324,0.9919552317411148,0.9892520465470142,0.9870222343970824,0.9930526181504389,0.9895181550795522,0.987985461736457,0.9902356864474184,0.987775043855293,0.9909186453015366,0.9913097948883142,0.9871015734115725,0.9903080935090085,0.9892127968345094,0.9886118501995655,0.9888680927040179,0.988046866058253,0.992079943458865,0.9897030352898343,0.9890025251302053,0.9891418677717541,0.9907640969045003,0.9890244449631707,0.9872451311729764,0.9874226768171972,0.9937938357560305,0.9903082174586182,0.9895691399522775,0.9889785043626528,0.9884010114159875,0.9907550333910153,0.9891058877922226,0.9918561067883946,0.9858875656667738,0.9900132858859216,0.9904080023358379,0.9922509418643545,0.9902132088390914,0.9917080651139519,0.9873928237834504,0.9892636210085965,0.9913283358245272,0.9888050971746722,0.9867184519323068,0.9912351837349215,0.9884947597629721,0.9899653458724036,0.9905058572811841,0.9895551068391079,0.0017252169788713088,16
19.040207042694092,0.11683632187466192,0.6389770746231079,0.014001630490973978,0.15,4,2000,"{'max_features': 0.15, 'min_samples_split': 4, 'n_estimators': 2000}",0.9893406533705738,0.9868958561270709,0.9894997332022433,0.9918428376437346,0.9894532110869042,0.9870044466877568,0.9931406855025772,0.9892054524620495,0.988112989679499,0.9900637426081547,0.9876196047810362,0.9907335364348739,0.9912931426001105,0.9871646223330591,0.9902543317079919,0.9893227196097252,0.9886714164110544,0.9887227696616925,0.9880823411399294,0.9920984898156796,0.9896858192841339,0.9889742272827563,0.9888536942805384,0.990966027972798,0.9891331685513715,0.9874214739953799,0.9874204382853871,0.9938913464223413,0.9902437300495748,0.9898073512120897,0.9887900484735722,0.9881199422863037,0.990606800928818,0.9890615779868493,0.9915896126845801,0.9859002626219654,0.9902329167661321,0.990531846639706,0.9922200108031,0.9898037936162121,0.9917986408594841,0.9874308236328636,0.9895097848757184,0.9911462266785135,0.9887665269564618,0.986788914810889,0.9910206541389961,0.9883536972947727,0.9899541323024603,0.9906587557492136,0.989544096606174,0.0017062354727711167,17
23.579562916755677,0.12122387571994388,0.6987123203277588,0.014054174482097346,0.19,4,2200,"{'max_features': 0.19, 'min_samples_split': 4, 'n_estimators': 2200}",0.9891374744305368,0.9866311495705654,0.9894529952966007,0.9919063445813736,0.989269202372307,0.9871204440786414,0.9930282829826641,0.9892126643389215,0.9881093037677227,0.9902130563336451,0.9878982555083304,0.9908050604406708,0.991276083949229,0.9869698611700392,0.9902537683715465,0.9894317571056763,0.9885345007359575,0.9888152679789899,0.9879393826635043,0.9920601723899439,0.9896791027415464,0.9890163303921451,0.9888941713648857,0.990867898761757,0.9890443163191204,0.9873823315967275,0.9873419953686721,0.9939408892211595,0.9902114899387898,0.989536612719162,0.98908838334024,0.9883782346436997,0.9907022450693441,0.9889661988948795,0.9918130222706368,0.9858089113781714,0.9901988542683154,0.9905996105289756,0.992327321232586,0.9900256975135735,0.9916886872236832,0.9874229550917588,0.9893010300358677,0.9912423561625108,0.988599725939759,0.9869602249119904,0.9911417652832022,0.9884071770137363,0.9899918043915361,0.9905120852785562,0.9895431291392771,0.001722315633332975,18
